Entry	Entry Name	Protein names	Gene Names	Taxonomic lineage	Organism	Organism (ID)	Gene Names (synonym)	Gene Names (primary)
Q85AI7	PSBB_ANTAG	Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47)	psbB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Anthocerotophyta (clade), Anthocerotopsida (class), Anthocerotidae (subclass), Anthocerotales (order), Anthocerotaceae (family), Anthoceros (genus)	Anthoceros angustus (Hornwort) (Anthoceros formosae)	48387		psbB
Q85AU0	PSBC_ANTAG	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Anthocerotophyta (clade), Anthocerotopsida (class), Anthocerotidae (subclass), Anthocerotales (order), Anthocerotaceae (family), Anthoceros (genus)	Anthoceros angustus (Hornwort) (Anthoceros formosae)	48387		psbC
Q85FJ7	PSBB_ADICA	Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47)	psbB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Polypodiopsida (class), Polypodiidae (subclass), Polypodiales (order), Pteridineae (suborder), Pteridaceae (family), Vittarioideae (subfamily), Adiantum (genus)	Adiantum capillus-veneris (Maidenhair fern)	13818		psbB
Q85FM2	PSBD_ADICA	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Polypodiopsida (class), Polypodiidae (subclass), Polypodiales (order), Pteridineae (suborder), Pteridaceae (family), Vittarioideae (subfamily), Adiantum (genus)	Adiantum capillus-veneris (Maidenhair fern)	13818		psbD
Q85FM3	PSBC_ADICA	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Polypodiopsida (class), Polypodiidae (subclass), Polypodiales (order), Pteridineae (suborder), Pteridaceae (family), Vittarioideae (subfamily), Adiantum (genus)	Adiantum capillus-veneris (Maidenhair fern)	13818		psbC
Q85FY6	PSAB_CYAM1	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Rhodophyta (phylum), Bangiophyceae (class), Cyanidiales (order), Cyanidiaceae (family), Cyanidioschyzon (genus), Cyanidioschyzon merolae (species)	Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)	280699		psaB
Q85G27	PSBD_CYAM1	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Rhodophyta (phylum), Bangiophyceae (class), Cyanidiales (order), Cyanidiaceae (family), Cyanidioschyzon (genus), Cyanidioschyzon merolae (species)	Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)	280699		psbD
Q85WW5	PSBD_PINKO	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Acrogymnospermae (clade), Pinopsida (class), Pinidae (subclass), Conifers I (clade), Pinales (order), Pinaceae (family), Pinus (genus), Pinus subgen. Strobus (subgenus)	Pinus koraiensis (Korean pine)	88728		psbD
Q85WW6	PSBC_PINKO	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Acrogymnospermae (clade), Pinopsida (class), Pinidae (subclass), Conifers I (clade), Pinales (order), Pinaceae (family), Pinus (genus), Pinus subgen. Strobus (subgenus)	Pinus koraiensis (Korean pine)	88728		psbC
Q85WX0	PSAB_PINKO	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Acrogymnospermae (clade), Pinopsida (class), Pinidae (subclass), Conifers I (clade), Pinales (order), Pinaceae (family), Pinus (genus), Pinus subgen. Strobus (subgenus)	Pinus koraiensis (Korean pine)	88728		psaB
Q85WX3	PSAA_PINKO	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Acrogymnospermae (clade), Pinopsida (class), Pinidae (subclass), Conifers I (clade), Pinales (order), Pinaceae (family), Pinus (genus), Pinus subgen. Strobus (subgenus)	Pinus koraiensis (Korean pine)	88728		psaA
Q881J7	LOVHK_PSESM	Blue-light-activated protein [Includes: Blue-light-activated histidine kinase (EC 2.7.13.3) (PS-LOV-histidine kinase) (PS-LOV-HK); Response regulator]	PSPTO_2896	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Pseudomonas (genus), Pseudomonas syringae group (no rank), Pseudomonas syringae group genomosp. 3 (species), Pseudomonas syringae pv. tomato (no rank)	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	223283		
Q89AJ9	PHR_BUCBP	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	phrB bbp_278	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Erwiniaceae (family), Buchnera (genus), Buchnera aphidicola (species), Buchnera aphidicola (Baizongia pistaciae) (no rank)	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	224915		phrB
Q8FW73	LOVHK_BRUSU	Blue-light-activated histidine kinase (EC 2.7.13.3)	BRA0588 BS1330_II0583	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Brucellaceae (family), Brucella/Ochrobactrum group (no rank), Brucella (genus), Brucella suis (species)	Brucella suis biovar 1 (strain 1330)	204722		
Q8HB52	PSBC_ABIAL	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Acrogymnospermae (clade), Pinopsida (class), Pinidae (subclass), Conifers I (clade), Pinales (order), Pinaceae (family), Abies (genus)	Abies alba (Edeltanne) (European silver fir)	45372		psbC
Q8M9V9	PSAB_CHAGL	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Coleochaetophyceae (class), Coleochaetales (order), Chaetosphaeridiaceae (family), Chaetosphaeridium (genus)	Chaetosphaeridium globosum (Charophycean green alga) (Herposteiron globosum)	96477		psaB
Q8M9W0	PSAA_CHAGL	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Coleochaetophyceae (class), Coleochaetales (order), Chaetosphaeridiaceae (family), Chaetosphaeridium (genus)	Chaetosphaeridium globosum (Charophycean green alga) (Herposteiron globosum)	96477		psaA
Q8M9W4	PSBD_CHAGL	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Coleochaetophyceae (class), Coleochaetales (order), Chaetosphaeridiaceae (family), Chaetosphaeridium (genus)	Chaetosphaeridium globosum (Charophycean green alga) (Herposteiron globosum)	96477		psbD
Q8M9W5	PSBC_CHAGL	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Coleochaetophyceae (class), Coleochaetales (order), Chaetosphaeridiaceae (family), Chaetosphaeridium (genus)	Chaetosphaeridium globosum (Charophycean green alga) (Herposteiron globosum)	96477		psbC
Q8MFA2	PSAB_PHYPA	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Bryophyta (clade), Bryophytina (clade), Bryopsida (class), Funariidae (subclass), Funariales (order), Funariaceae (family), Physcomitrium (genus)	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	3218		psaB
Q8MFA3	PSAA_PHYPA	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Bryophyta (clade), Bryophytina (clade), Bryopsida (class), Funariidae (subclass), Funariales (order), Funariaceae (family), Physcomitrium (genus)	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	3218		psaA
Q8S8X4	PSAA_ATRBE	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Solanaceae (family), Solanoideae (subfamily), Hyoscyameae (tribe), Atropa (genus)	Atropa belladonna (Belladonna) (Deadly nightshade)	33113		psaA
Q8S8X5	PSAB_ATRBE	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Solanaceae (family), Solanoideae (subfamily), Hyoscyameae (tribe), Atropa (genus)	Atropa belladonna (Belladonna) (Deadly nightshade)	33113		psaB
Q8S8X7	PSBC_ATRBE	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Solanaceae (family), Solanoideae (subfamily), Hyoscyameae (tribe), Atropa (genus)	Atropa belladonna (Belladonna) (Deadly nightshade)	33113		psbC
Q8S8X8	PSBD_ATRBE	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Solanaceae (family), Solanoideae (subfamily), Hyoscyameae (tribe), Atropa (genus)	Atropa belladonna (Belladonna) (Deadly nightshade)	33113		psbD
Q8WI19	PSBD_PSINU	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Polypodiopsida (class), Ophioglossidae (subclass), Psilotales (order), Psilotaceae (family), Psilotum (genus)	Psilotum nudum (Whisk fern) (Lycopodium nudum)	3240		psbD
Q8WI20	PSBC_PSINU	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Polypodiopsida (class), Ophioglossidae (subclass), Psilotales (order), Psilotaceae (family), Psilotum (genus)	Psilotum nudum (Whisk fern) (Lycopodium nudum)	3240		psbC
Q8XFA5	PSBD_NOSS1	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD1 alr4290; psbD2 alr4548	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), unclassified Nostoc (no rank)	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	103690	; 	psbD1; psbD2
Q8YLI4	PSAB2_NOSS1	Photosystem I P700 chlorophyll a apoprotein A2 2 (EC 1.97.1.12) (PsaB 2)	psaB2 alr5314	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), unclassified Nostoc (no rank)	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	103690		psaB2
Q8YZK7	PHAA2_NOSS1	Putative allophycocyanin subunit alpha 2	apcA2 all0450	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), unclassified Nostoc (no rank)	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	103690		apcA2
Q90245	OPSD_AMBTI	Rhodopsin	RHO	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Caudata (order), Salamandroidea (superfamily), Ambystomatidae (family), Ambystoma (genus)	Ambystoma tigrinum (Eastern tiger salamander)	8305		RHO
Q90305	OPSD_CORAU	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Protacanthopterygii (clade), Salmoniformes (order), Salmonidae (family), Coregoninae (subfamily), Coregonus (genus)	Coregonus autumnalis (Arctic cisco) (Salmo autumnalis)	27773		rho
Q90309	OPSUV_CARAU	Ultraviolet-sensitive opsin (Ultraviolet cone photoreceptor pigment)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Cyprinidae (family), Cyprininae (subfamily), Carassius (genus)	Carassius auratus (Goldfish)	7957		
Q90373	OPSD_LEOKE	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Perciformes (order), Cottioidei (suborder), Cottales (infraorder), Cottidae (family), Leocottus (genus)	Leocottus kesslerii (Kessler's sculpin) (Cottus kesslerii)	8099		rho
Q94741	OPS1_SCHGR	Opsin-1	Lo1	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Polyneoptera (cohort), Orthoptera (order), Caelifera (suborder), Acrididea (infraorder), Acridomorpha (no rank), Acridoidea (superfamily), Acrididae (family), Cyrtacanthacridinae (subfamily), Schistocerca (genus)	Schistocerca gregaria (Desert locust) (Gryllus gregarius)	7010		Lo1
Q95P04	NFCP_GONTE	GFP-like non-fluorescent chromoprotein (gtCP)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Cnidaria (phylum), Anthozoa (class), Hexacorallia (subclass), Scleractinia (order), Fungiina (suborder), Poritidae (family), Goniopora (genus)	Goniopora tenuidens (Anemone coral) (Rhodaraea tenuidens)	75301		
Q95W86	NFCP_CONGI	GFP-like non-fluorescent chromoprotein (cgCP) (cpCP)		cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Cnidaria (phylum), Anthozoa (class), Hexacorallia (subclass), Actiniaria (order), Actiniidae (family), Condylactis (genus)	Condylactis gigantea (Giant Caribbean anemone) (Condylactis passiflora)	47073		
Q95YI3	OPSCE_BOMMO	Ceropsin (Cerebral opsin) (Boceropsin)	Bcop	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Bombycoidea (superfamily), Bombycidae (family), Bombycinae (subfamily), Bombyx (genus)	Bombyx mori (Silk moth)	7091		Bcop
Q9AL93	PSAA_PROHO	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Prochlorotrichales (order), Prochlorotrichaceae (family), Prochlorothrix (genus)	Prochlorothrix hollandica	1223		psaA
Q9BBC1	PSBA_AMPCA	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Alveolata (clade), Dinophyceae (class), Amphidiniales (order), Amphidiniaceae (family), Amphidinium (genus)	Amphidinium carterae (Dinoflagellate)	2961		psbA
Q9BBT0	PSBD_LOTJA	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), Hologalegina (clade), robinioid clade (clade), Loteae (tribe), Lotus (genus)	Lotus japonicus (Lotus corniculatus var. japonicus)	34305		psbD
Q9BBT1	PSBC_LOTJA	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), Hologalegina (clade), robinioid clade (clade), Loteae (tribe), Lotus (genus)	Lotus japonicus (Lotus corniculatus var. japonicus)	34305		psbC
Q9C9K1	CB7_ARATH	Chlorophyll a-b binding protein 7, chloroplastic (Light-harvesting chlorophyll B-binding protein 7) (AtLHCB7) (Lhcb7)	LHCB7 At1g76570 F14G6.17	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Arabidopsis thaliana (Mouse-ear cress)	3702		LHCB7
Q9HP81	HTR2_HALSA	Sensory rhodopsin II transducer (HTR-II) (Methyl-accepting phototaxis protein II) (MPP-II)	htr2 htrII VNG_1765G	cellular organisms (no rank), Archaea (superkingdom), Euryarchaeota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halobacterium (genus), Halobacterium salinarum (species), Halobacterium salinarum NRC-34001 (strain)	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)	64091	htrII	htr2
Q9KR33	CRYD_VIBCH	Cryptochrome DASH	cry1 VcCry1 VC_1814	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Vibrionales (order), Vibrionaceae (family), Vibrio (genus), Vibrio cholerae (species), Vibrio cholerae O1 (serogroup), Vibrio cholerae serotype O1 biovar El Tor (no rank)	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	243277	VcCry1	cry1
Q9KS67	CRY2_VIBCH	Cryptochrome-like protein cry2	cry2 VcCry2 VC_1392	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Vibrionales (order), Vibrionaceae (family), Vibrio (genus), Vibrio cholerae (species), Vibrio cholerae O1 (serogroup), Vibrio cholerae serotype O1 biovar El Tor (no rank)	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	243277	VcCry2	cry2
Q9L4N4	PSAA_PROMA	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA Pro_1672	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species), Prochlorococcus marinus subsp. marinus (subspecies)	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)	167539		psaA
Q9L8M1	PCBF_PROMA	Divinyl chlorophyll a/b light-harvesting protein PcbF	pcbF Pro_1288	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species), Prochlorococcus marinus subsp. marinus (subspecies)	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)	167539		pcbF
Q9L8M2	PCBE_PROMA	Divinyl chlorophyll a/b light-harvesting protein PcbE	pcbE Pro_1450	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species), Prochlorococcus marinus subsp. marinus (subspecies)	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)	167539		pcbE
Q9L8M5	PCBB_PROMA	Divinyl chlorophyll a/b light-harvesting protein PcbB	pcbB Pro_1169	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species), Prochlorococcus marinus subsp. marinus (subspecies)	Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)	167539		pcbB
Q9LCC2	PHYA_NOSS1	Cyanobacterial phytochrome A (EC 2.7.13.3)	aphA alr3157	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), unclassified Nostoc (no rank)	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	103690		aphA
Q9MSC0	PSBA_HETNI	Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)	psbA	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Alveolata (clade), Dinophyceae (class), Peridiniales (order), Heterocapsaceae (family), Heterocapsa (genus)	Heterocapsa niei (Dinoflagellate) (Cachonina niei)	2920		psbA
